system:index,LST,NDBI,NDVI,.geo
0,31.156283750000057,0.03197646835563146,0.2534709423762133,"{""type"":""Point"",""coordinates"":[77.3627795464764,23.27186702680058]}"
1,31.349401880000016,0.10285303284584033,0.11236623067776456,"{""type"":""Point"",""coordinates"":[77.45504050632374,23.182363413491856]}"
2,29.766858619999994,-0.06551410373066424,0.4938606282889491,"{""type"":""Point"",""coordinates"":[77.49408624154199,23.232723207459888]}"
3,31.711712000000034,0.019940602460755196,0.2959326788218794,"{""type"":""Point"",""coordinates"":[77.4405373767952,23.330403988016613]}"
4,34.45638206000001,0.10872608492767148,0.3625014861490905,"{""type"":""Point"",""coordinates"":[77.40512652538897,23.21210521042225]}"
5,33.69074558,-0.06227967097532315,0.519559902200489,"{""type"":""Point"",""coordinates"":[77.3447221378594,23.21808550325359]}"
6,29.48487197000003,0.09082505199907558,0.20397857689364957,"{""type"":""Point"",""coordinates"":[77.4359359440187,23.241307045848956]}"
7,29.924087540000016,-0.14452245330507352,0.676693188433922,"{""type"":""Point"",""coordinates"":[77.4572973724032,23.201294122659384]}"
8,31.31693069000005,-0.176014684886804,0.552922165364934,"{""type"":""Point"",""coordinates"":[77.38830847001161,23.328994009008735]}"
9,30.16163992999998,0.028299524167292762,0.21136434592569467,"{""type"":""Point"",""coordinates"":[77.37883265783054,23.303850284166682]}"
10,31.038362060000054,0.03144171779141104,0.19432624113475178,"{""type"":""Point"",""coordinates"":[77.36384468213187,23.273760532121326]}"
11,29.689953170000024,-0.06206896551724138,0.4959236773633998,"{""type"":""Point"",""coordinates"":[77.40174811175869,23.24708654094678]}"
12,32.44829531000005,0.03212654924983692,0.3884664873084571,"{""type"":""Point"",""coordinates"":[77.3819001388869,23.284281955658027]}"
13,31.161410779999983,-0.03187086092715232,0.26387832699619773,"{""type"":""Point"",""coordinates"":[77.40767953898911,23.339603644230717]}"
14,28.741452620000018,-0.18072056408770404,0.4867428849428363,"{""type"":""Point"",""coordinates"":[77.49975908674976,23.23383263598311]}"
15,22.96158079999998,-0.2586750788643533,-0.19879518072289157,"{""type"":""Point"",""coordinates"":[77.3325072705833,23.240809592094582]}"
16,35.05282655000002,-0.016748014164034836,0.1836007130124777,"{""type"":""Point"",""coordinates"":[77.35565227167496,23.20102800207086]}"
17,31.86894092,0.05537525354969574,0.3370657479184611,"{""type"":""Point"",""coordinates"":[77.44672531686454,23.187542509083954]}"
18,34.07014579999998,0.040589569160997735,0.18764912280701754,"{""type"":""Point"",""coordinates"":[77.32830010146938,23.296552898882062]}"
19,29.30371691000005,-0.027943570265870864,0.31906005221932116,"{""type"":""Point"",""coordinates"":[77.50210569002223,23.237137893853504]}"
20,29.48999900000001,-0.21077331156906753,0.5373056994818652,"{""type"":""Point"",""coordinates"":[77.40870681470516,23.31389856822838]}"
21,28.054430600000046,-0.14253495714930087,0.5129162311482753,"{""type"":""Point"",""coordinates"":[77.45412228011452,23.214608643976774]}"
22,29.816419910000036,0.1182043762688924,0.12586405529953917,"{""type"":""Point"",""coordinates"":[77.40381167616594,23.25488354710779]}"
23,33.01055960000002,0.10916110916110916,0.20646490255110125,"{""type"":""Point"",""coordinates"":[77.39442721983023,23.241891855494924]}"
24,27.880111580000005,-0.1387823585810163,0.5242220083413539,"{""type"":""Point"",""coordinates"":[77.44935297593365,23.191409667430054]}"
25,34.10774402000004,0.12481743624311875,0.15974393330355813,"{""type"":""Point"",""coordinates"":[77.42216184986776,23.285120233520754]}"
26,33.84797450000002,0.09391175745624845,0.08934656986220181,"{""type"":""Point"",""coordinates"":[77.4869652967968,23.240368546055496]}"
27,33.69074558,0.06385196768308575,0.1831357048748353,"{""type"":""Point"",""coordinates"":[77.47587560583335,23.30562881575951]}"
28,33.91633490000004,-0.09917627677100495,0.4381376634573933,"{""type"":""Point"",""coordinates"":[77.39236443173185,23.23335003098868]}"
29,27.743390780000027,-0.18356510745891277,0.6599290780141844,"{""type"":""Point"",""coordinates"":[77.40671742860516,23.23662149496933]}"
30,32.09794826000001,-0.001435897435897436,0.22601707684580613,"{""type"":""Point"",""coordinates"":[77.41345818044,23.306424890608014]}"
31,28.385978539999996,0.04121935056328695,0.36259182520248634,"{""type"":""Point"",""coordinates"":[77.41691255622652,23.240290140275405]}"
32,29.83521902000001,-0.054144106622240736,0.5367334547662417,"{""type"":""Point"",""coordinates"":[77.44379838608256,23.30720550991168]}"
33,28.855956289999995,0.06080688292059063,0.3470068367517092,"{""type"":""Point"",""coordinates"":[77.38882232192563,23.174721592839642]}"
34,34.58968484000002,0.025922828813761796,0.21683330846142368,"{""type"":""Point"",""coordinates"":[77.42100083641387,23.28672889067507]}"
35,29.23193849000006,-0.06932529561789938,0.36047197640117995,"{""type"":""Point"",""coordinates"":[77.455399083032,23.283549314687182]}"
36,35.254489730000046,0.22537082134159842,0.28900349972370604,"{""type"":""Point"",""coordinates"":[77.37321592751505,23.181066553047064]}"
37,31.462196540000036,0.001323918799646955,0.26707726763717804,"{""type"":""Point"",""coordinates"":[77.45943008260015,23.29344393604954]}"
38,33.193423670000016,-0.1242405195893568,0.44753169678985705,"{""type"":""Point"",""coordinates"":[77.36568199662514,23.327356287794977]}"
39,31.181918900000028,-0.039609993906154786,0.32935064935064934,"{""type"":""Point"",""coordinates"":[77.44199135463195,23.295995085220547]}"
